Job Title,Address,Job Link
ML OPS Engineer,"Bengaluru, Karnataka, India
Actively Hiring
2 days ago",https://in.linkedin.com/jobs/view/ml-ops-engineer-at-deloitte-3954339200?position=29&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=14ZAhY17AVPNO119l6DL8g%3D%3D&trk=public_jobs_jserp-result_search-card
Data Analyst,"India
Actively Hiring
3 days ago",https://in.linkedin.com/jobs/view/data-analyst-at-sourcefuse-3958506893?position=30&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=GacqzeXWos6c%2Bo9OWMiOHA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Pune, Maharashtra, India
3 weeks ago",https://in.linkedin.com/jobs/view/data-scientist-at-fusemachines-3939697024?position=31&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=NeF3CRUdQD2wPAqfG5Xr9A%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Bengaluru, Karnataka, India
Actively Hiring
1 month ago",https://in.linkedin.com/jobs/view/data-scientist-at-organic-mandya-3936811768?position=32&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=NljBHja7nXlOmO5QD1xCyg%3D%3D&trk=public_jobs_jserp-result_search-card
Analyst-Data Science,"Gurugram, Haryana, India
Actively Hiring
6 days ago",https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-3955583290?position=33&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=GPiL%2BSBLukZ2Ry2ag3V%2Bgw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Maharashtra, India
Actively Hiring
3 days ago",https://in.linkedin.com/jobs/view/data-scientist-at-ascendion-3957829774?position=34&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=ivXbpkPeKkzIL2Hj5DRQJQ%3D%3D&trk=public_jobs_jserp-result_search-card
Decision Scientist,"Bengaluru, Karnataka, India
Be an early applicant
1 hour ago",https://in.linkedin.com/jobs/view/decision-scientist-at-tesco-bengaluru-3962217793?position=35&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=yBzfOBjNoqmSlC%2FLrlLm1Q%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Bengaluru, Karnataka, India
Actively Hiring
3 weeks ago",https://in.linkedin.com/jobs/view/data-scientist-at-exl-3940955691?position=36&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=P%2F1Bma6kbjrMucmdlPDqEg%3D%3D&trk=public_jobs_jserp-result_search-card
Data Analyst,"Mumbai, Maharashtra, India
Actively Hiring
7 hours ago",https://in.linkedin.com/jobs/view/data-analyst-at-atos-3960625208?position=37&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=Af4dYxFyzuZzT%2BQdw39mCA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Bengaluru East, Karnataka, India
Actively Hiring
1 day ago",https://in.linkedin.com/jobs/view/data-scientist-at-philips-3959778468?position=38&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=IqFeix%2BdzCJBMC29EOK1Vw%3D%3D&trk=public_jobs_jserp-result_search-card
Decision Scientist,"Bengaluru, Karnataka, India
Be an early applicant
1 hour ago",https://in.linkedin.com/jobs/view/decision-scientist-at-tesco-bengaluru-3962217792?position=39&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=Kl37J52aAgi18cXVtZzXag%3D%3D&trk=public_jobs_jserp-result_search-card
Data Analyst,"Gurgaon, Haryana, India
Actively Hiring
2 weeks ago",https://in.linkedin.com/jobs/view/data-analyst-at-gocomet-3948669309?position=40&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=8CsRNTCwC5pJCnr0MqtG3A%3D%3D&trk=public_jobs_jserp-result_search-card
Business Analyst,"Bengaluru, Karnataka, India
Actively Hiring
2 days ago",https://in.linkedin.com/jobs/view/business-analyst-at-flipkart-3958386574?position=41&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=VqIushZbhFY6R%2BqBnHkzgQ%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Gurugram, Haryana, India
Actively Hiring
10 hours ago",https://in.linkedin.com/jobs/view/data-scientist-at-hdfc-bank-3960601143?position=42&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=DnUCvw8CgxyegZPzk5ntjA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Andhra Pradesh, India
Actively Hiring
2 days ago",https://in.linkedin.com/jobs/view/data-scientist-at-virtusa-3933161294?position=43&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=F1RY8qY%2FqnbFr6B7HSjhuA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Bengaluru, Karnataka, India
Actively Hiring
2 weeks ago",https://in.linkedin.com/jobs/view/data-scientist-at-equifax-3945503465?position=44&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=NZ%2FzO%2BABfQyNzWhBrEKTZQ%3D%3D&trk=public_jobs_jserp-result_search-card
Research Analyst,"India
Actively Hiring
3 days ago",https://in.linkedin.com/jobs/view/research-analyst-at-flexi-analyst-3957895582?position=45&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=cN2m0snXcfPGlux1ODw1PA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Researcher (Fresher),"India
Actively Hiring
2 weeks ago",https://in.linkedin.com/jobs/view/data-researcher-fresher-at-consultbae-jobs-3949258693?position=46&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=mfQ9vkBcPAk%2BO8fG7Gy7cw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Bengaluru East, Karnataka, India
Actively Hiring
2 weeks ago",https://in.linkedin.com/jobs/view/data-scientist-at-jio-3945745795?position=47&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=44qvZIyjw89IQCkPuyWr4Q%3D%3D&trk=public_jobs_jserp-result_search-card
Analyst-Data Analytics,"Gurugram, Haryana, India
Actively Hiring
1 week ago",https://in.linkedin.com/jobs/view/analyst-data-analytics-at-american-express-3947891414?position=48&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=OCZSw%2B07eyWM5qaw4GK9Yg%3D%3D&trk=public_jobs_jserp-result_search-card
Associate Data Scientist,"Noida, Uttar Pradesh, India
Actively Hiring
2 days ago",https://in.linkedin.com/jobs/view/associate-data-scientist-at-times-internet-3958791653?position=49&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=jyX3IEAc35qHJOHNtBqPZw%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, University Graduate, 2025","Hyderabad, Telangana, India
Actively Hiring
1 week ago",https://in.linkedin.com/jobs/view/software-engineer-university-graduate-2025-at-google-3951084285?position=50&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=XupXK5%2FaPytTWSkB9Xf7fw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Mumbai Metropolitan Region
Actively Hiring
2 weeks ago",https://in.linkedin.com/jobs/view/data-scientist-at-jio-3945749510?position=51&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=FfUul8WiWWQ%2Fi8zcJiARsw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Noida, Uttar Pradesh, India
3 weeks ago",https://in.linkedin.com/jobs/view/data-scientist-at-mobilab-by-primary-healthtech-3939014654?position=52&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=J3cAf3EWFJuSFyhVk%2BCXFQ%3D%3D&trk=public_jobs_jserp-result_search-card
Analyst - Data Science,"Pune, Maharashtra, India
1 week ago",https://in.linkedin.com/jobs/view/analyst-data-science-at-fresh-gravity-3949137733?position=53&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=sV1j9WBMsBezpgXeW2eGpA%3D%3D&trk=public_jobs_jserp-result_search-card
AI/ML internship,"Bagalur, Karnataka, India
1 week ago",https://in.linkedin.com/jobs/view/ai-ml-internship-at-thecodework-3954119653?position=54&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=%2FbAR8Y%2BUuIA15mwgcjEKUw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Bengaluru, Karnataka, India
Actively Hiring
2 weeks ago",https://in.linkedin.com/jobs/view/data-scientist-at-abb-3949492541?position=55&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=zXZLBpSPD9hAddWh6ZuksQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, University Graduate, 2025","Mumbai Metropolitan Region
Actively Hiring
6 days ago",https://in.linkedin.com/jobs/view/software-engineer-university-graduate-2025-at-google-3956348886?position=56&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=84OY24q2KrssXS7h6Cydxg%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Gurugram, Haryana, India
Actively Hiring
1 week ago",https://in.linkedin.com/jobs/view/data-scientist-at-exl-3950812184?position=57&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=ymGQZx2Rulzfn%2Fk4LUenKA%3D%3D&trk=public_jobs_jserp-result_search-card
Analyst,"Mumbai Metropolitan Region
Actively Hiring
1 day ago",https://in.linkedin.com/jobs/view/analyst-at-wipro-3934822836?position=58&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=PIUdji%2Bi7S8fiEyg5QdXpQ%3D%3D&trk=public_jobs_jserp-result_search-card
ML Data Science,"Bengaluru, Karnataka, India
Actively Hiring
2 weeks ago",https://in.linkedin.com/jobs/view/ml-data-science-at-wipro-3927396361?position=59&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=6lGQ5Sw1kLgqZrQxweNcXg%3D%3D&trk=public_jobs_jserp-result_search-card
Data Science Analyst,"Bengaluru, Karnataka, India
Actively Hiring
5 days ago",https://in.linkedin.com/jobs/view/data-science-analyst-at-thermo-fisher-scientific-3945062735?position=60&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=B1jx35KpX7VlJS0t8jgy%2Bg%3D%3D&trk=public_jobs_jserp-result_search-card
